Source Target Weight
86 88 1
69 67 1
85 98 1
55 46 3
46 57 3
105 94 1
46 8 1
22 30 1
94 85 1
12 9 2
85 24 1
14 85 1
1 92 1
0 4 3
64 90 1
97 96 1
66 24 1
43 47 1
12 93 1
25 31 1
85 9 2
94 106 1
18 19 1
72 70 1
61 89 1
5 1 10
76 56 1
39 3 1
104 110 3
3 2 1
34 48 1
52 26 1
105 113 2
4 2 2
8 16 4
44 3 1
98 91 1
0 74 1
105 112 1
66 67 2
45 55 9
111 85 1
9 21 1
101 107 1
11 15 2
89 88 5
81 47 1
69 74 1
44 8 1
13 0 1
2 17 1
88 110 1
1 12 4
72 78 1
1 43 1
12 108 1
91 89 2
22 26 2
47 90 1
112 96 3
78 42 1
44 59 3
104 87 2
102 92 2
34 79 1
49 45 2
56 48 2
46 44 28
10 3 2
81 22 1
112 91 1
4 1 9
96 88 1
110 85 1
59 55 1
34 22 1
36 15 1
48 45 1
14 11 2
87 92 1
58 55 2
0 5 8
104 95 1
12 14 1
90 89 1
45 43 7
92 100 1
113 85 3
7 10 2
24 22 8
70 23 1
87 94 5
54 70 1
91 107 3
106 98 1
47 42 10
12 1 2
1 15 2
25 93 2
16 14 1
44 84 1
44 36 1
26 34 2
68 69 3
24 25 4
105 102 2
42 32 2
93 90 1
99 1 1
11 16 1
6 2 1
90 86 1
95 98 4
60 42 1
21 1 1
85 55 1
89 61 1
90 109 1
85 91 6
58 46 1
70 43 2
21 48 1
88 91 1
114 87 2
90 64 1
80 67 3
116 11 2
28 26 1
98 107 1
85 113 3
75 68 1
21 46 4
73 67 5
0 15 1
46 45 3
22 40 1
33 2 1
105 86 1
77 68 3
44 7 1
85 105 2
14 10 1
101 12 1
109 87 2
23 33 1
12 8 3
76 29 1
39 25 2
95 104 1
42 53 5
98 105 1
42 88 1
1 9 4
95 85 9
25 24 8
37 27 6
7 1 2
4 5 5
43 53 4
4 13 1
64 88 3
85 46 4
44 109 1
21 44 1
0 29 1
1 7 21
74 69 2
29 35 1
66 76 1
45 46 6
87 85 13
78 44 1
93 94 1
104 85 2
7 6 1
55 48 2
12 100 1
42 70 8
32 34 1
0 24 2
43 7 1
90 42 4
92 105 1
48 70 1
97 87 3
107 87 1
92 90 2
14 9 27
42 49 2
44 58 1
23 24 4
30 33 1
75 69 2
88 90 3
47 45 3
15 0 1
47 70 2
44 48 2
23 27 1
44 42 13
112 95 1
42 61 1
85 90 9
42 8 1
48 66 1
20 2 2
33 35 1
78 24 2
12 92 5
22 29 3
86 90 2
85 104 1
3 19 1
5 16 1
1 18 14
36 79 1
45 56 1
86 116 1
91 112 1
58 44 2
90 101 3
108 88 1
27 23 1
86 92 1
95 91 3
61 85 1
86 96 1
91 100 1
49 47 1
0 61 1
85 10 1
13 2 1
5 2 3
114 85 3
10 19 2
96 102 4
50 43 3
46 3 1
60 44 4
9 11 2
34 43 1
7 8 3
0 13 4
116 96 1
1 6 3
86 94 1
104 115 1
22 78 1
4 21 2
9 5 1
72 74 2
0 20 1
98 90 2
70 68 2
0 85 1
95 102 2
2 20 1
32 24 1
12 94 1
23 22 12
92 103 2
70 57 1
111 90 3
45 57 1
65 21 1
44 6 1
45 70 1
103 90 1
70 66 5
12 85 2
10 18 3
52 70 13
0 92 2
109 86 1
49 43 4
45 5 1
42 46 38
29 46 1
78 19 1
0 9 4
0 14 2
42 22 4
43 46 6
52 47 2
43 85 2
29 33 2
77 69 2
7 2 2
42 54 10
10 0 3
98 112 2
55 34 1
3 18 3
44 9 1
47 52 1
22 39 1
37 23 1
48 42 4
26 23 4
102 86 1
36 35 1
70 42 5
103 85 2
90 57 3
11 14 1
9 15 1
88 108 1
3 0 16
57 43 1
76 22 1
79 74 1
96 94 1
99 73 1
5 8 1
85 110 2
79 68 1
36 17 1
101 90 1
97 111 1
113 98 1
94 90 1
19 0 1
52 42 2
0 21 2
0 11 6
8 18 1
91 11 2
55 43 2
10 9 1
9 85 1
15 8 2
8 1 1
42 29 1
0 42 2
100 44 1
46 42 12
86 103 1
2 5 3
99 107 1
97 93 1
21 12 1
106 86 1
101 93 1
85 44 1
36 22 2
48 46 4
25 36 1
2 39 1
4 36 1
105 88 1
67 78 1
5 11 1
25 28 14
42 56 1
2 70 1
2 6 1
60 58 1
91 103 2
42 58 2
35 22 3
28 23 2
85 3 2
3 1 11
47 44 4
91 104 3
73 87 1
29 23 2
88 85 3
88 3 1
112 86 1
40 22 2
43 70 4
54 26 2
78 26 8
53 59 5
62 88 1
27 24 1
8 9 26
42 44 29
96 112 2
10 1 24
53 44 2
90 110 3
109 106 2
13 1 2
9 7 3
17 13 1
24 88 1
69 77 1
90 103 1
63 62 1
103 95 1
15 18 1
0 7 7
8 10 1
21 10 1
101 85 2
116 105 1
69 76 1
1 19 4
3 11 1
44 85 1
22 109 2
42 0 2
50 42 4
15 1 8
90 2 1
48 44 1
105 87 1
43 21 1
107 100 2
104 91 1
46 53 2
70 44 3
24 45 1
35 42 1
104 101 3
36 12 1
107 93 1
88 89 8
2 0 29
12 96 2
42 7 1
23 28 1
85 89 3
90 85 16
96 93 1
88 96 1
85 116 3
23 36 2
42 73 2
22 33 3
74 75 2
54 46 2
79 69 1
78 72 1
4 0 20
52 85 1
93 92 1
25 39 2
113 86 2
22 23 6
69 34 1
0 22 1
24 78 5
85 99 4
91 50 1
36 1 1
47 49 2
16 12 1
86 43 1
96 92 3
5 42 1
75 44 1
92 96 1
90 115 1
85 92 3
22 28 1
23 26 1
71 72 2
9 1 3
8 14 2
91 105 1
70 67 1
85 58 1
13 21 1
70 73 2
96 85 3
85 61 2
24 76 1
89 101 3
9 10 2
18 1 1
69 82 1
23 31 1
15 10 8
20 0 1
42 34 1
72 82 1
2 3 2
98 104 1
76 73 3
87 89 1
112 85 5
76 43 1
17 55 1
70 45 3
91 96 1
91 90 1
9 18 2
43 58 1
106 94 2
44 43 15
7 0 3
0 43 1
100 87 1
29 34 1
68 75 1
1 3 11
116 115 5
85 45 1
8 42 1
85 12 1
42 78 1
89 85 4
74 79 2
87 97 2
45 42 5
12 103 1
25 22 4
9 0 1
11 9 2
42 85 4
107 115 1
42 21 4
109 42 1
93 87 3
73 90 1
6 7 1
28 78 1
44 57 3
26 30 1
115 89 2
6 5 2
0 23 2
13 6 3
47 46 5
35 33 2
85 1 1
46 54 1
43 45 12
3 5 3
1 17 2
86 87 2
5 36 2
42 68 1
22 25 4
17 0 4
98 61 1
42 45 13
2 1 6
86 114 1
25 78 1
11 10 1
45 61 1
30 22 1
22 42 2
34 17 1
18 5 1
95 96 2
36 9 2
18 8 1
67 74 1
11 0 1
46 47 1
1 0 23
19 78 2
13 18 2
66 73 3
8 15 2
32 22 2
33 8 1
90 92 1
60 46 5
42 57 7
